id;position_code;position_name_ru;skill_rank;skill_name
1;ADM_DIRECTOR;Директор;1;Стратегическое и операционное планирование
2;ADM_DIRECTOR;Директор;2;Управление организацией и делегирование
3;ADM_DIRECTOR;Директор;3;Финансовая и управленческая отчётность (чтение и решения)
4;ADM_DIRECTOR;Директор;4;Управление рисками и compliance на уровне компании
5;ADM_DIRECTOR;Директор;5;Представительство и переговоры с ключевыми стейкхолдерами
6;ADM_DIRECTOR;Директор;6;Принятие решений в условии неопределённости
7;ADM_DIRECTOR;Директор;7;Формирование и трансляция целей (каскадирование)
8;ADM_ZAMADM;Заместитель директора по административным вопросам;1;Операционное управление и координация подразделений
9;ADM_ZAMADM;Заместитель директора по административным вопросам;2;Контроль исполнения регламентов и поручений
10;ADM_ZAMADM;Заместитель директора по административным вопросам;3;Организация административно-хозяйственного обеспечения
11;ADM_ZAMADM;Заместитель директора по административным вопросам;4;Работа с подрядчиками и поставщиками услуг
12;ADM_ZAMADM;Заместитель директора по административным вопросам;5;Документооборот и контроль сроков
13;ADM_ZAMADM;Заместитель директора по административным вопросам;6;Управление конфликтами и эскалациями
14;ADM_SYS_ADMIN;Системный администратор;1;Администрирование серверов и рабочих станций
15;ADM_SYS_ADMIN;Системный администратор;2;Сетевая инфраструктура и безопасность perimeter
16;ADM_SYS_ADMIN;Системный администратор;3;Резервное копирование и восстановление
17;ADM_SYS_ADMIN;Системный администратор;4;Мониторинг доступности и инцидент-менеджмент
18;ADM_SYS_ADMIN;Системный администратор;5;Учётные записи, права доступа, политики ИБ
19;ADM_SYS_ADMIN;Системный администратор;6;Документирование конфигураций
20;INFO_SYSTEM_SUPPORT;Специалист по поддержке информационных систем;1;Диагностика и решение инцидентов пользователей (L1/L2)
21;INFO_SYSTEM_SUPPORT;Специалист по поддержке информационных систем;2;Работа в тикет-системе и SLA
22;INFO_SYSTEM_SUPPORT;Специалист по поддержке информационных систем;3;Коммуникация с пользователями и эскалация
23;INFO_SYSTEM_SUPPORT;Специалист по поддержке информационных систем;4;Базовая настройка ПО и учётных записей
24;INFO_SYSTEM_SUPPORT;Специалист по поддержке информационных систем;5;Знание внутренних ИС и сценариев обращения
25;INFO_SYSTEM_SUPPORT;Специалист по поддержке информационных систем;6;Фиксация решений в базе знаний
26;INFO_SYSTEM_SUPPORT;Специалист по поддержке информационных систем;7;Соблюдение процедур информационной безопасности
27;HR_MANAGER;HR-менеджер;1;Планирование и закрытие вакансий с заказчиком
28;HR_MANAGER;HR-менеджер;2;Подбор: скрининг, интервью, оценка кандидатов
29;HR_MANAGER;HR-менеджер;3;Адаптация и сопровождение на испытательном сроке
30;HR_MANAGER;HR-менеджер;4;Базовое трудовое право и кадровые процессы
31;HR_MANAGER;HR-менеджер;5;Взаимодействие с руководителями по кадровым вопросам
32;HR_MANAGER;HR-менеджер;6;HR-метрики и отчётность по подбору
33;HR_MANAGER;HR-менеджер;7;Развитие и обратная связь (1:1, оценка)
34;HR_HEAD;Руководитель отдела кадров;1;Стратегия управления персоналом и планирование ФОТ
35;HR_HEAD;Руководитель отдела кадров;2;Управление командой HR и распределение нагрузки
36;HR_HEAD;Руководитель отдела кадров;3;Взаимодействие с топ-менеджментом и советом директоров
37;HR_HEAD;Руководитель отдела кадров;4;Корпоративная культура и внутренние коммуникации
38;HR_HEAD;Руководитель отдела кадров;5;Compliance (трудовое законодательство, персональные данные)
39;HR_HEAD;Руководитель отдела кадров;6;Конфликтология и сложные кадровые кейсы
40;HR_HEAD;Руководитель отдела кадров;7;Представительство компании во внешних инстанциях (при необходимости)
41;HR_RECRUITER;Рекрутер;1;Сорсинг и привлечение кандидатов
42;HR_RECRUITER;Рекрутер;2;Скрининг резюме и первичный контакт
